,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ,,RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',TX',TY',TZ'
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
168,0,,,,,,,,,,,,,49.087368,185.145035,1594.547119,71.870651,104.999260,1317.240601,30.010321,320.432739,1509.066895,49.616535,367.173981,1296.424683,163.042572,128.499222,1485.888916,-147.591949,220.752213,1529.906372,-221.367249,169.285385,1329.250610,-252.182755,135.791367,1236.361572,-281.995636,262.120972,1192.916748,-250.556763,398.637482,1229.336426,-289.093384,385.677795,1168.863892,,,,237.580566,261.978241,1547.649780,312.196838,255.557236,1440.994385,398.811157,197.882431,1260.815430,418.769623,278.968811,1222.178101,374.471313,457.392700,1221.008179,411.683350,446.582520,1159.024048,,,,-61.871994,324.495087,1121.492065,195.100586,316.710876,1069.348755,-8.614480,124.289307,1051.996704,110.519760,118.927292,1044.321411,-135.106186,397.567139,1034.023193,-141.154694,701.021118,899.038025,-133.712555,524.504395,729.054382,-100.435471,374.430420,621.365356,-49.116535,307.920715,629.661316,-77.999535,513.040649,497.268646,203.116318,264.586975,773.268555,157.588898,213.429260,558.377014,161.076889,165.041626,431.605438,105.604126,110.421577,124.967682,42.689629,53.974274,104.175980,120.169624,274.567535,49.819004
169,0,,,,,,,,,,,,,47.249489,186.313904,1605.156372,70.627327,105.644363,1328.715820,29.788158,321.118866,1519.852783,50.199608,366.316223,1307.540771,161.267609,128.425934,1497.395020,-148.727539,223.694199,1540.181274,-220.537170,171.700317,1339.030762,-249.799988,137.509964,1245.542358,-278.886780,264.234100,1202.394165,-247.963593,400.524689,1240.971558,-285.174072,388.126434,1179.630371,,,,236.416000,261.005341,1558.937866,310.979462,254.100479,1452.444580,395.277405,196.379700,1270.981934,414.388580,277.718994,1233.081543,368.258667,455.738159,1235.147583,404.653748,446.208374,1172.482666,,,,-63.096569,323.178345,1130.751465,193.368073,315.765472,1078.810181,-8.075733,123.514061,1062.807983,111.043121,118.059319,1054.544556,-136.696304,397.805298,1035.399902,-140.256699,695.690979,887.174805,-133.371674,520.516541,715.792664,-100.977585,372.454193,605.048767,-50.302464,305.990540,615.226501,-76.811546,509.637939,479.532776,203.357941,269.831848,781.760559,160.420044,224.160522,565.522644,163.580444,174.459396,439.141724,109.063484,116.397278,133.002090,45.576702,60.048023,114.938087,120.453987,275.262451,48.726139
170,0,,,,,,,,,,,,,45.314087,187.776779,1616.854004,69.225548,106.469864,1341.604614,29.521645,321.916199,1531.721069,50.449242,365.547119,1319.809937,159.227982,128.486786,1510.113159,-149.890640,227.167160,1551.606079,-219.836502,175.087723,1350.057861,-247.613464,139.861359,1256.070190,-275.583038,266.742920,1213.168335,-244.970261,402.698883,1253.891846,-280.556000,391.052429,1191.555298,,,,235.029282,260.105621,1571.022095,309.561615,252.494003,1464.807617,391.534912,194.112839,1282.240479,409.793121,275.475708,1245.092773,361.980408,453.023285,1250.471069,397.045563,444.831085,1186.921143,,,,-64.990540,321.510162,1139.878540,191.071945,314.712219,1089.598877,-7.339274,122.538322,1074.224121,111.783272,117.047623,1066.104980,-138.630096,397.524506,1035.368652,-139.008194,688.938782,873.388916,-133.024338,515.453369,700.439880,-101.874916,369.715363,586.280518,-51.386120,303.269348,598.702515,-75.076027,504.904999,458.926422,204.360413,275.832367,791.562744,164.365723,237.057892,573.761292,167.116211,185.926544,447.764221,112.987068,123.660797,142.530762,48.786842,67.699875,128.002686,120.789658,276.368439,48.155655
171,0,,,,,,,,,,,,,43.317360,189.499329,1629.121704,67.558449,107.426750,1355.400146,29.214609,322.801575,1544.125854,50.410725,365.025421,1332.749390,156.898361,128.660858,1523.475586,-151.032913,231.085419,1563.622314,-219.354218,179.344650,1361.847412,-245.833069,142.879623,1267.460693,-272.237488,269.721405,1224.924927,-241.609207,405.175751,1267.783325,-275.296783,394.541687,1204.353638,,,,233.455246,259.272583,1583.327759,307.993225,250.755127,1477.504639,387.777069,191.225021,1294.040405,405.166626,272.435242,1257.745605,355.808289,449.455048,1266.530762,389.128998,442.684387,1201.964600,,,,-67.408257,319.760803,1148.619507,188.377502,313.430420,1101.360229,-6.678770,121.454880,1085.954956,112.454849,115.875046,1078.685059,-140.652832,396.644409,1033.964600,-137.407013,680.624023,858.071899,-132.654099,509.277344,683.229736,-103.037651,366.222931,565.287292,-52.508415,299.786041,580.232239,-72.877846,499.053833,435.931122,206.196091,282.420135,802.366516,169.407898,252.102936,582.859863,171.693222,199.551407,457.254303,117.156517,132.109467,153.559723,52.175640,76.822350,143.288712,121.246048,278.112518,48.628078
172,0,,,,,,,,,,,,,41.283821,191.428741,1641.460815,65.517677,108.469124,1369.610107,28.888586,323.739288,1556.537476,50.148918,364.799469,1345.884766,154.259918,128.911102,1536.915405,-152.103714,235.354614,1575.679810,-219.166901,184.308701,1373.910645,-244.631561,146.566284,1279.176025,-268.987518,273.221893,1237.284546,-237.922226,407.966644,1282.305298,-269.477661,398.648499,1217.726685,,,,231.739395,258.449615,1595.344482,306.341492,248.861847,1490.020264,384.163422,187.877014,1305.824585,400.660583,268.809448,1270.551392,349.898346,445.266449,1282.858521,381.167847,440.011902,1217.225220,,,,-70.152054,318.159729,1156.903076,185.446869,311.825684,1113.719116,-6.333252,120.365013,1097.762695,112.800613,114.536194,1091.912964,-142.519394,395.107178,1031.350098,-135.433640,670.619324,841.584229,-132.213837,501.938293,664.398315,-104.341049,361.965179,542.306274,-53.796215,295.561005,559.940247,-70.295502,492.311188,411.057831,208.861801,289.535797,813.852844,175.498016,269.295197,592.618347,177.264069,215.424805,467.449036,121.352066,141.528687,166.179077,55.610176,87.153961,160.679276,121.925484,280.708221,50.724823
173,0,,,,,,,,,,,,,39.236279,193.489807,1653.401245,63.016838,109.571190,1383.746216,28.581692,324.688354,1568.464478,49.753109,364.830811,1358.759521,151.320679,129.189560,1549.886475,-153.059540,239.883667,1587.266846,-219.338501,189.804367,1385.763672,-244.145706,150.907730,1290.661377,-265.947510,277.278656,1249.829590,-233.951813,411.071533,1297.107422,-263.203644,403.388672,1231.378052,,,,229.940735,257.550659,1606.639893,304.684326,246.770248,1501.911377,380.817719,184.235336,1317.061157,396.388611,264.813477,1283.024780,344.382355,440.693787,1299.000732,373.386993,437.050201,1232.317627,,,,-73.002037,316.898071,1164.748779,182.432495,309.862335,1126.280151,-6.482620,119.377808,1109.440430,112.622322,113.043648,1105.371094,-144.031357,392.900482,1027.774780,-133.063171,658.834656,824.238831,-131.638519,493.396149,644.180420,-105.649429,356.920502,517.602112,-55.344299,290.582458,537.950989,-67.379547,484.901947,384.830841,212.282410,297.191956,825.724182,182.553101,288.544159,602.914368,183.701797,233.488235,478.288086,125.364410,151.608093,180.557541,58.968750,98.318573,180.050110,122.923782,284.276031,55.052292
174,0,,,,,,,,,,,,,37.202675,195.589325,1664.513794,60.007694,110.729492,1397.321899,28.347778,325.615173,1579.468506,49.336491,365.035095,1370.945190,148.123322,129.439240,1561.885864,-153.874222,244.596466,1597.939941,-219.918381,195.683533,1396.939453,-244.478119,155.888351,1301.396240,-263.204346,281.915222,1262.139038,-229.738174,414.475342,1311.846191,-256.596191,408.740082,1245.023315,,,,228.131638,256.483093,1616.859863,303.096954,244.435196,1512.799438,377.827911,180.460205,1327.272461,392.427429,260.655945,1294.710205,339.361938,435.956360,1314.544800,365.949677,434.013123,1246.878052,,,,-75.747047,316.132507,1172.173218,179.472000,307.576660,1138.640137,-7.236336,118.608833,1120.791138,111.795181,111.433800,1118.615967,-145.056778,390.075043,1023.524780,-130.279358,645.235657,806.297485,-130.857803,483.641846,622.806152,-106.833298,351.071838,491.479248,-57.198406,284.807251,514.404175,-64.142113,477.030701,357.764679,216.326813,305.416687,837.737244,190.459320,309.599335,613.722839,190.809326,253.459030,489.830994,129.017639,161.993851,196.901321,62.137794,109.886009,201.277390,124.293541,288.780365,62.194649
175,0,,,,,,,,,,,,,35.216621,197.625504,1674.428345,56.485844,111.952408,1409.858643,28.248810,326.504425,1589.185059,49.025440,365.309692,1382.052124,144.739532,129.594360,1572.479858,-154.543808,249.438934,1607.343994,-220.940018,201.850845,1407.012451,-245.694168,161.496841,1310.945068,-260.813110,287.150299,1273.825195,-225.322876,418.147705,1326.199585,-249.778336,414.648865,1258.395020,,,,226.391525,255.166977,1625.727783,301.636963,241.827744,1522.363403,375.246185,176.696930,1336.060181,388.821381,256.533600,1305.205078,334.903412,431.242279,1329.137695,358.950745,431.079041,1260.584839,,,,-78.208733,315.986084,1179.115723,176.683426,305.069122,1150.406006,-8.632565,118.176643,1131.618286,110.269096,109.771164,1131.201416,-145.530655,386.747406,1018.871338,-127.087128,629.851013,787.975647,-129.807404,472.708862,600.497925,-107.777794,344.422760,464.281769,-59.338955,278.188354,489.467163,-60.561588,468.861023,330.332947,220.830597,314.201416,849.726196,199.077515,332.040680,625.105164,198.359711,274.838318,502.228333,132.189758,172.354630,215.391937,65.002563,121.442657,224.230682,126.032486,294.020416,72.654388
176,0,,,,,,,,,,,,,33.311794,199.499847,1682.847900,52.490261,113.242409,1420.902832,28.338291,327.359283,1597.346436,48.939945,365.547821,1391.734619,141.253922,129.582947,1581.329224,-155.084717,254.376328,1615.223022,-222.421478,208.269287,1415.629150,-247.813858,167.727097,1318.995972,-258.795990,293.002228,1284.564697,-220.753906,422.047668,1339.882080,-242.857376,421.039948,1271.248901,,,,224.793640,253.544601,1633.038330,300.332977,238.946442,1530.339355,373.086914,173.073563,1343.130859,385.589996,252.630173,1314.184814,331.033844,426.703033,1342.498535,352.421448,428.383484,1273.175171,,,,-80.257027,316.545868,1185.416504,174.161011,302.480652,1161.213989,-10.646479,118.194672,1141.716064,108.059578,108.148132,1142.693604,-145.439102,383.089600,1014.026550,-123.519737,612.765991,769.456970,-128.437271,460.672302,577.474121,-108.382919,337.009247,436.378326,-61.670025,270.705719,463.348877,-56.601971,460.497467,302.932617,225.619202,323.467804,861.607361,208.247437,355.329437,637.167419,206.143478,296.993591,515.650940,134.816299,182.437378,236.130829,67.432823,132.662674,248.761017,128.114502,299.695923,86.775032
177,0,,,,,,,,,,,,,31.514269,201.129318,1689.560303,48.101803,114.581268,1430.047119,28.644646,328.192108,1603.791382,49.171658,365.657867,1399.703125,137.743576,129.334641,1588.211548,-155.525803,259.379028,1621.424194,-224.359100,214.949356,1422.536621,-250.804367,174.576630,1325.379761,-257.145508,299.487671,1294.119995,-216.087051,426.131378,1352.651978,-235.912216,427.827911,1283.367920,,,,223.390030,251.581604,1638.654297,299.180084,235.822235,1536.525879,371.325928,169.704773,1348.309448,382.733612,249.113464,1321.421753,327.739105,422.455261,1354.420776,346.349335,426.021637,1284.453491,,,,-81.817978,317.857513,1190.851196,171.971069,299.962219,1170.745361,-13.205768,118.759163,1150.859009,105.230835,106.676872,1152.678589,-144.799393,379.307770,1009.115845,-119.640404,594.104309,750.911011,-126.717552,447.633179,553.960632,-108.563957,328.900391,408.142151,-64.018356,262.381805,436.315308,-52.239613,451.978424,275.856354,230.529724,333.061676,873.361877,217.795593,378.895752,650.004089,213.999069,319.284088,530.210022,136.883057,192.105209,259.107697,69.283760,143.372955,274.700043,130.559769,305.527710,104.650970
178,0,,,,,,,,,,,,,29.836433,202.456680,1694.437866,43.438168,115.924675,1436.962769,29.163681,329.012238,1608.458496,49.771164,365.595428,1405.739868,134.262207,128.793121,1593.028198,-155.899551,264.404785,1625.891357,-226.712585,221.925934,1427.598755,-254.577545,182.044525,1330.060181,-255.831451,306.616821,1302.343872,-211.384140,430.360504,1364.314331,-228.993988,434.927460,1294.566772,,,,222.199860,249.263672,1642.502441,298.143005,232.516708,1540.794800,369.908112,166.700089,1351.538574,380.237000,246.132019,1326.796631,324.967072,418.587341,1364.767212,340.708710,424.057953,1294.293945,,,,-82.873489,319.918396,1195.188477,170.149323,297.647644,1178.734375,-16.211187,119.936241,1158.790771,101.875237,105.474129,1160.764893,-143.648849,375.615112,1004.168274,-115.537498,574.007874,732.507507,-124.645454,433.694092,530.205933,-108.258362,320.188416,379.934052,-66.148819,253.280075,408.699005,-47.489697,443.281677,249.281235,235.431290,342.775970,884.994629,227.550171,402.226379,663.649963,221.820374,341.181030,545.912292,138.421158,201.354813,284.193420,70.432915,153.592896,301.875397,133.478333,311.347565,126.082596
179,0,,,,,,,,,,,,,28.274246,203.456360,1697.429077,38.635338,117.205948,1441.436768,29.862087,329.816437,1611.359131,50.743149,365.381622,1409.715088,130.833267,127.928810,1595.789917,-156.235672,269.386505,1628.653931,-229.398102,229.229797,1430.798096,-258.991882,190.128784,1333.105469,-254.808807,314.387390,1309.174438,-206.711029,434.709229,1374.725708,-222.141388,442.260529,1304.701782,,,,221.202835,246.593384,1644.566895,297.165466,229.113327,1543.099121,368.760223,164.170761,1352.861328,378.072876,243.811325,1330.295532,322.637268,415.165680,1373.466553,335.488953,422.538971,1302.635254,,,,-83.453972,322.675903,1198.221558,168.701172,295.633972,1184.971802,-19.558357,121.748787,1165.219604,98.093590,104.643349,1166.594849,-142.045822,372.199402,999.113953,-111.316208,552.626465,714.416565,-122.253990,418.937866,506.490173,-107.435997,310.972778,352.089539,-67.798920,243.498108,380.892212,-42.425900,434.340637,223.287659,240.239029,352.392120,896.489258,237.357773,424.926025,678.063538,229.548492,362.339203,562.664795,139.506104,210.303680,311.150940,70.836021,163.516113,330.118774,137.027100,317.103699,150.625229
180,0,,,,,,,,,,,,,26.808548,204.135056,1698.544434,33.813286,118.352409,1443.400146,30.686567,330.585358,1612.544800,52.040581,365.086761,1411.598145,127.452286,126.747696,1596.580811,-156.558777,274.232849,1629.810425,-232.298538,236.864822,1432.224976,-263.861023,198.822357,1334.652100,-254.025131,322.782318,1314.617188,-202.134872,439.167938,1383.795410,-215.399979,449.760895,1313.680908,,,,220.338806,243.589157,1644.881714,296.181366,225.704742,1543.470215,367.804077,162.229309,1352.395752,376.207855,242.247742,1331.994263,320.656464,412.239014,1380.511719,330.710815,421.502625,1309.475220,,,,-83.627953,326.034668,1199.772461,167.603104,293.973175,1189.305176,-23.153585,124.164482,1169.828003,93.982101,104.257233,1169.870361,-140.076157,369.188599,993.787109,-107.088867,530.120972,696.793518,-119.614609,403.419220,483.120178,-106.106789,301.342316,324.911469,-68.727348,233.156494,353.318420,-37.187145,425.069580,197.912598,244.914078,361.720276,907.781982,247.096146,446.740906,693.142578,237.157883,382.599731,580.311340,140.255219,219.145142,339.653381,70.563301,173.427216,359.245972,141.320557,322.834198,177.692841
181,0,,,,,,,,,,,,,25.410837,204.527344,1697.839355,29.046108,119.314735,1442.933228,31.570911,331.285004,1612.085083,53.565163,364.801300,1411.449951,124.093597,125.291359,1595.515869,-156.888092,278.840637,1629.506592,-235.283218,244.801178,1432.051392,-268.969788,208.108627,1334.869751,-253.423065,331.770111,1318.722534,-197.719070,443.742493,1391.488647,-208.831467,457.375244,1321.466553,,,,219.516129,240.285721,1643.515869,295.123444,222.380371,1542.005005,366.966888,160.978561,1350.309448,374.608734,241.501450,1332.036987,318.936066,409.838074,1385.954346,326.428101,420.981628,1314.866211,,,,-83.492256,329.868530,1199.685669,166.806198,292.675751,1191.634888,-26.916765,127.091568,1172.300781,89.632126,104.346420,1170.392212,-137.852554,366.620270,987.940552,-102.966087,506.676208,679.759644,-116.828110,387.172394,460.409180,-104.321053,291.355896,298.669250,-68.766777,222.379837,326.381348,-31.967838,415.396332,173.230942,249.450592,370.621033,918.768311,256.680878,467.545898,708.760681,244.642532,401.941071,598.671875,140.822388,228.088959,369.300110,69.799606,183.596558,389.023499,146.367432,328.653870,206.644791
182,0,,,,,,,,,,,,,24.051395,204.685852,1695.398438,24.359537,120.096657,1440.237915,32.440052,331.871826,1610.057007,55.179707,364.611237,1409.397095,120.720085,123.627266,1592.704834,-157.236221,283.114044,1627.905029,-238.227432,252.984619,1430.493530,-274.093689,217.959915,1333.930176,-252.937500,341.306976,1321.568359,-193.518341,448.445129,1397.830811,-202.506729,465.061188,1328.075806,,,,218.629379,236.733429,1640.559814,293.931396,219.218628,1538.844604,366.190033,160.493820,1346.794312,373.246887,241.591278,1330.611572,317.403595,407.971222,1389.898804,322.711060,420.996704,1318.908081,,,,-83.163094,334.032715,1197.824585,166.241074,291.725739,1191.909180,-30.769676,130.393814,1172.365845,85.143669,104.900116,1168.090942,-135.504730,364.423096,981.279846,-99.049164,482.513245,663.387756,-114.007225,370.229279,438.646851,-102.161598,281.026703,273.600647,-67.862366,211.264755,300.401459,-26.992327,405.298828,149.443207,253.854156,379.003784,929.334839,266.064423,487.306610,724.799988,252.006180,420.408600,617.573914,141.387299,237.308731,399.633484,68.815086,194.202744,419.151062,152.057449,334.735809,236.833923
183,0,,,,,,,,,,,,,22.705750,204.669022,1691.321655,19.749685,120.766411,1435.581909,33.216888,332.303955,1606.544678,56.725273,364.579773,1405.607910,117.293770,121.834770,1588.235718,-157.606613,286.983398,1625.158081,-241.027908,261.352631,1427.775635,-279.024750,228.340439,1331.981567,-252.496246,351.336700,1323.253052,-189.578217,453.281311,1402.908936,-196.488068,472.777100,1333.576294,,,,217.580551,232.998108,1636.114502,292.560608,216.284256,1534.151978,365.439484,160.807129,1342.046143,372.102142,242.492447,1327.929932,316.006256,406.615479,1392.490112,319.617401,421.543396,1321.739746,,,,-82.769753,338.375031,1194.076172,165.824966,291.102600,1190.122925,-34.617558,133.922379,1169.838623,80.641144,105.878654,1163.038940,-133.170563,362.418884,973.516052,-95.424553,457.893463,647.703430,-111.255890,352.640686,418.067871,-99.727936,270.312897,249.913422,-66.076805,199.841507,275.560516,-22.477381,394.839630,126.940918,258.112579,386.811829,939.394958,275.227386,506.033783,741.173035,259.257385,438.057220,636.870422,142.137848,246.908676,430.163574,67.919510,205.297836,449.269318,158.191559,341.275269,267.633209
184,0,,,,,,,,,,,,,21.356468,204.530655,1685.714233,15.201664,121.442703,1429.232422,33.833084,332.558014,1601.645996,58.040836,364.741882,1400.268677,113.785332,119.995331,1582.173828,-157.992538,290.417023,1621.386353,-243.613449,269.850220,1424.101318,-283.601501,239.212204,1329.137695,-252.028732,361.786316,1323.898682,-185.935867,458.234680,1406.866333,-190.812408,480.466522,1338.086426,,,,216.295258,229.161041,1630.283813,290.989441,213.626785,1528.095581,364.715057,161.900650,1336.247070,371.163879,244.138397,1324.208252,314.707275,405.708405,1393.904907,317.166962,422.580414,1323.530151,,,,-82.450409,342.749512,1188.360352,165.468323,290.800415,1186.322876,-38.338791,137.541687,1164.656738,76.278122,107.229729,1155.437378,-130.994904,360.353333,964.427368,-92.160118,433.110901,632.703003,-108.648476,334.497589,398.831268,-97.114113,259.125977,227.784561,-63.559658,188.052765,251.874207,-18.591900,384.192688,106.320641,262.167572,394.005157,948.912537,284.164642,523.742371,757.831482,266.407166,454.919006,656.439575,143.248032,256.911987,460.397247,67.414345,216.807297,478.981171,164.537506,348.454346,298.455688
185,0,,,,,,,,,,,,,19.991436,204.313995,1678.683472,10.703452,122.262909,1421.402100,34.240738,332.651398,1595.468140,58.985874,365.116974,1393.560059,110.180344,118.190132,1574.575806,-158.380493,293.425171,1616.674072,-245.949478,278.441498,1419.635132,-287.733551,250.538773,1325.483643,-251.477097,372.561005,1323.657593,-182.617874,463.255951,1409.888672,-185.484131,488.047760,1341.768311,,,,214.731216,225.317200,1623.174927,289.221008,211.278336,1520.838501,364.053894,163.708679,1329.558350,370.428497,246.426514,1319.655640,313.478851,405.146332,1394.338867,315.329163,424.027100,1324.471680,,,,-82.344292,347.025970,1180.644043,165.081741,290.837555,1180.613525,-41.791470,141.130127,1156.890503,72.229942,108.896973,1145.591553,-129.130783,357.949860,953.916687,-89.303024,408.479431,618.385193,-106.216110,315.951172,381.024109,-94.385223,247.365799,207.360153,-60.492161,175.776901,229.209854,-15.426802,373.658875,88.319649,265.907990,400.546722,957.905884,292.868927,540.420837,774.765808,273.466125,470.995911,676.172424,144.857422,267.268890,489.865143,67.552414,228.553757,507.875275,170.885895,356.416992,328.773224
186,0,,,,,,,,,,,,,18.601357,204.051407,1670.347046,6.260170,123.348145,1412.228760,34.423786,332.656128,1588.118774,59.460083,365.728149,1385.634644,106.483315,116.502289,1565.514282,-158.756805,296.056824,1611.077148,-248.035736,287.112946,1414.497803,-291.407623,262.281647,1321.095825,-250.804840,383.541687,1322.712891,-179.633942,468.257660,1412.181152,-180.477539,495.414612,1344.812378,,,,212.884125,221.571106,1614.907715,287.281952,209.254089,1512.536621,363.519073,166.123886,1322.123779,369.894073,249.225571,1314.471313,312.296997,404.791229,1393.999146,314.024231,425.767853,1324.770752,,,,-82.576752,351.087067,1170.967407,164.581375,291.255188,1173.164673,-44.829803,144.561279,1146.737793,68.682846,110.817780,1133.881958,-127.732140,354.969910,942.057800,-86.880463,384.323608,604.780640,-103.945473,297.234039,364.687897,-91.560226,234.995117,188.760178,-57.021786,162.912659,207.364624,-12.990204,363.663605,73.650742,269.193451,406.393463,966.432678,301.315308,556.012512,791.989380,280.440125,486.266144,695.954346,147.058029,277.876923,518.141052,68.510269,240.299576,535.548706,177.085770,365.255310,358.132019
187,0,,,,,,,,,,,,,17.178709,203.767532,1660.852051,1.905355,124.775864,1401.797729,34.403954,332.688965,1579.704102,59.415047,366.613068,1376.606079,102.721558,115.018326,1555.106079,-159.113251,298.388977,1604.647339,-249.895630,295.866241,1408.778442,-294.667999,274.389221,1316.066650,-249.999008,394.589020,1321.270264,-176.970581,473.117035,1413.943604,-175.744156,502.447144,1347.417603,,,,210.793915,218.033203,1605.639282,285.219025,207.556000,1503.348877,363.176086,169.006882,1314.087891,369.553528,252.384781,1308.846436,311.140411,404.484436,1393.097656,313.131897,427.660004,1324.637695,,,,-83.244949,354.814880,1159.473389,163.890701,292.109528,1164.216187,-47.316601,147.689194,1134.516602,65.825317,112.920990,1120.745972,-126.932411,351.259888,929.119202,-84.905106,360.975769,591.971497,-101.789146,278.684326,349.843994,-88.606758,222.148911,172.084137,-53.199074,149.524582,186.204254,-11.225971,354.693939,62.760899,271.891571,411.494934,974.565063,309.448425,570.413208,809.508545,287.324493,500.692261,715.650330,149.890503,288.604431,544.848511,70.376686,251.800232,561.626526,183.051605,375.004150,386.160980
188,0,,,,,,,,,,,,,15.719589,203.484329,1650.401001,-2.295433,126.562920,1390.195923,34.232807,332.881836,1570.350586,58.857689,367.820984,1366.558838,98.947052,113.824821,1543.541748,-159.449707,300.510040,1597.461182,-251.557495,304.702026,1402.557617,-297.580353,286.783508,1310.528442,-249.062225,405.551758,1319.543335,-174.590759,477.688202,1415.354248,-171.220657,509.025757,1349.771851,,,,208.547852,214.817047,1595.586792,283.095886,206.178406,1493.454834,363.066254,172.200989,1305.616577,369.387054,255.745880,1302.970947,309.995117,404.062897,1391.844360,312.503662,429.543365,1324.277710,,,,-84.416252,358.084412,1146.437622,162.939758,293.459930,1154.074097,-49.126045,150.356720,1120.672974,63.839020,115.133743,1106.682251,-126.816284,346.775177,915.554199,-83.384293,338.771637,580.088501,-99.683693,260.767975,336.498840,-85.458183,209.223816,157.403000,-48.941765,136.000000,165.817139,-10.022581,347.144348,55.640903,273.903717,415.800842,982.365417,317.177551,583.482422,827.289001,294.095154,514.221924,735.095032,153.344620,299.309662,569.656616,73.155190,262.848694,585.772461,188.748444,385.639526,412.564667
189,0,,,,,,,,,,,,,14.228529,203.225861,1639.277222,-6.247751,128.658722,1377.582275,33.971458,333.348877,1560.244141,57.846748,369.401031,1355.583618,95.235825,113.001930,1531.115234,-159.772964,302.500214,1589.651978,-253.033279,313.600922,1395.940308,-300.191895,299.353180,1304.664551,-247.995743,416.275360,1317.741821,-172.443176,481.823547,1416.562744,-166.836548,515.041260,1352.042847,,,,206.272995,212.034515,1585.044678,280.990204,205.113815,1483.082275,363.188446,175.549255,1296.911377,369.353485,259.157471,1297.038452,308.855347,403.379425,1390.442993,311.973785,431.255554,1323.886597,,,,-86.134735,360.772675,1132.289917,161.665573,295.353882,1143.107056,-50.144585,152.422348,1105.798462,62.882862,117.392921,1092.265747,-127.398056,341.583740,901.952026,-82.327988,318.042786,569.279053,-97.576180,244.065735,324.634979,-82.063202,196.848648,144.731110,-44.084179,123.089157,146.585342,-9.209876,341.178680,51.822906,275.169189,419.276306,989.875122,324.379761,595.068359,845.225464,300.695129,526.782959,754.084717,157.359543,309.848755,592.269470,76.771126,273.290802,607.681641,194.168182,397.073822,437.099915
