Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
158,0,-8.2361,3.20031,2.21535,-45.9199,1018.76,251.221,-39.1459,-42.3067,31.3501,-67.5604,-1027.15,224.127
159,0,-8.50624,2.55003,2.57363,-46.5484,1009.2,253.221,-27.0146,-65.0287,35.8281,-62.8494,-955.522,199.974
160,0,-8.73426,1.81027,2.92455,-47.1206,1000.84,255.157,-22.8019,-73.9753,35.0921,-57.2193,-836.384,193.647
161,0,-8.8863,1.01411,3.30319,-47.5271,994.02,256.875,-15.2037,-79.6163,37.8642,-40.6533,-681.657,171.834
162,0,-8.94672,0.215657,3.70952,-47.7243,989.057,258.281,-6.04224,-79.8454,40.6329,-19.7187,-496.316,140.506
163,0,-8.95096,-0.514525,4.13576,-47.7329,986.193,259.373,-0.423472,-73.0182,42.6243,-0.854582,-286.4,109.234
164,0,-8.82717,-1.15298,4.55606,-47.5835,985.51,259.984,12.3787,-63.8451,42.0302,14.9362,-68.2831,61.0709
165,0,-8.60661,-1.69577,4.92917,-47.4063,987.056,260.137,22.0563,-54.2796,37.3111,17.716,154.626,15.3512
166,0,-8.26509,-2.09441,5.28519,-46.982,990.688,259.744,34.1519,-39.8642,35.6019,42.4385,363.153,-39.3093
167,0,-7.86441,-2.36272,5.54276,-46.5942,996.304,258.945,40.0681,-26.8305,25.7566,38.7777,561.684,-79.9239
168,0,-7.3891,-2.51466,5.70086,-46.2025,1003.58,257.816,47.5305,-15.1941,15.8098,39.167,727.576,-112.921
169,0,-6.89859,-2.57518,5.81939,-45.5485,1012.26,256.477,49.0512,-6.05174,11.8536,65.4034,868.452,-133.86
170,0,-6.3702,-2.57172,5.87842,-44.6778,1021.95,254.985,52.8389,0.345992,5.90269,87.0667,969.005,-149.146
171,0,-5.86484,-2.51363,5.90495,-43.5384,1032.3,253.518,50.536,5.80876,2.65272,113.937,1034.58,-146.744
172,0,-5.34591,-2.46378,5.96027,-42.0689,1042.82,252.079,51.8934,4.98465,5.53215,146.95,1052.43,-143.898
173,0,-4.8692,-2.42127,5.79253,-40.8216,1053.3,250.806,47.6704,4.25179,-16.7737,124.731,1048.02,-127.262
174,0,-4.47294,-2.41922,5.58026,-39.5088,1063.37,249.876,39.6265,0.204329,-21.2266,131.28,1006.98,-93.0101
175,0,-4.25686,-2.50224,5.25326,-38.3053,1072.79,249.331,21.6078,-8.30205,-32.7004,120.348,941.241,-54.5815
176,0,-3.92153,-2.71215,4.8439,-37.1669,1081.07,248.897,33.5331,-20.9908,-40.9357,113.839,828.242,-43.3564
177,0,-3.74827,-3.0524,4.33114,-36.1887,1088.13,248.938,17.3263,-34.0251,-51.2767,97.8194,705.862,4.09186
178,0,-3.66779,-3.54834,3.73547,-35.3471,1093.67,249.291,8.04818,-49.5935,-59.5672,84.1673,553.823,35.3083
179,0,-3.70579,-4.16833,2.98274,-34.7242,1097.59,250.132,-3.79993,-61.9997,-75.2721,62.2839,392.509,84.132
180,0,-3.6856,-4.94429,2.27274,-34.0534,1099.62,251.098,2.01871,-77.5955,-71.0008,67.0884,203.133,96.6132
181,0,-3.79952,-5.79314,1.37593,-33.6662,1099.72,252.418,-11.3925,-84.8853,-89.6801,38.7181,9.62019,131.914
182,0,-3.97776,-6.6803,0.35192,-33.4688,1097.8,253.837,-17.8241,-88.7154,-102.401,19.7392,-191.963,141.901
183,0,-4.15716,-7.51384,-0.919674,-33.6205,1094.07,255.352,-17.939,-83.3547,-127.159,-15.1679,-372.708,151.587
184,0,-4.26384,-8.2994,-2.1174,-33.6624,1088.48,256.686,-10.6689,-78.5553,-119.773,-4.19207,-559.628,133.345
185,0,-4.36675,-8.96138,-3.28502,-33.7174,1081.17,257.793,-10.2905,-66.1981,-116.762,-5.50151,-731.003,110.665
186,0,-4.36672,-9.46693,-4.47493,-33.8558,1072.63,258.697,0.00332972,-50.5554,-118.991,-13.8406,-853.992,90.4322
187,0,-4.29507,-9.8132,-5.66673,-34.0611,1063.27,259.42,7.16419,-34.6265,-119.18,-20.5338,-935.805,72.3392
188,0,-4.13948,-9.95624,-6.67943,-34.2579,1053.15,259.826,15.5596,-14.3046,-101.27,-19.6718,-1012.07,40.5699
189,0,-4.0027,-10.0328,-7.41216,-34.0239,1043.11,260.531,13.6775,-7.66031,-73.2731,23.393,-1003.73,70.5212
190,0,-3.85398,-9.96506,-7.53519,-32.8527,1032.34,261.165,14.8726,6.77879,-12.3028,117.122,-1077.31,63.3508
191,0,-3.7787,-9.81312,-7.58068,-31.3511,1022.28,262.265,7.52781,15.1939,-4.54856,150.162,-1005.76,109.988
192,0,-3.58972,-9.36509,-8.17623,-31.7414,1013.66,262.769,18.8976,44.8025,-59.5556,-39.0265,-861.752,50.4166
193,0,-3.3985,-8.90469,-8.20006,-31.0232,1005.81,263.468,19.1225,46.0406,-2.38246,71.8167,-785.196,69.9252
194,0,-3.13005,-8.37661,-8.02778,-29.6159,999.509,263.979,26.8453,52.8073,17.2273,140.724,-630.075,51.1169
195,0,-2.83471,-7.76525,-8.045,-29.3368,995.065,264.083,29.5338,61.136,-1.72146,27.9149,-444.436,10.4159
196,0,-2.56278,-7.22606,-7.73782,-28.2386,992.604,264.193,27.1927,53.9194,30.7175,109.816,-246.06,11
197,0,-2.20363,-6.77659,-7.74216,-28.249,992.232,263.628,35.9154,44.947,-0.433632,-1.03153,-37.1695,-56.4963
198,0,-1.85281,-6.43547,-7.41047,-27.4249,993.978,262.918,35.0813,34.1117,33.1687,82.4058,174.528,-71.013
199,0,-1.44222,-6.247,-7.47449,-27.8626,997.673,261.596,41.0593,18.8478,-6.40159,-43.7748,369.483,-132.182
200,0,-1.02891,-6.09083,-7.2497,-27.3604,1003.07,260.204,41.3312,15.6164,22.4788,50.2272,539.953,-139.198
201,0,-0.820238,-6.20282,-7.1749,-27.7263,1010.19,259.094,20.867,-11.1984,7.48034,-36.5911,711.906,-111.002
202,0,-0.756269,-6.44472,-7.16512,-28.6201,1018.64,258.253,6.39692,-24.1902,0.978168,-89.3861,845.206,-84.1171
203,0,-0.80718,-6.73404,-7.10465,-29.8225,1028,257.737,-5.09114,-28.9324,6.04707,-120.239,935.96,-51.5848
