Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
84,0,-2.06904,-39.8255,-0.720497,59.1226,1007.68,-602.754,-12.0605,9.48167,33.9727,233.277,140.047,228.006
85,0,-2.30493,-39.7264,-0.331905,61.5113,1008.85,-600.058,-23.5895,9.90412,38.8592,238.872,117.755,269.55
86,0,-2.54013,-39.6303,0.0491308,63.7264,1009.58,-597.723,-23.5195,9.61178,38.1036,221.508,72.6104,233.531
87,0,-2.80105,-39.5567,0.405316,65.8369,1009.85,-595.434,-26.0923,7.36363,35.6185,211.05,27.132,228.834
88,0,-3.09281,-39.5125,0.725339,67.8691,1009.66,-593.112,-29.1759,4.4205,32.0023,203.22,-19.3238,232.273
89,0,-3.41471,-39.5192,1.0013,69.8405,1009,-590.709,-32.19,-0.670383,27.596,197.142,-65.7916,240.29
90,0,-3.76021,-39.591,1.22975,71.7727,1007.9,-588.189,-34.5496,-7.1816,22.8452,193.22,-110.412,251.985
91,0,-4.05403,-39.7143,1.31269,73.5605,1006.15,-585.974,-29.3825,-12.3254,8.29429,178.777,-174.892,221.491
92,0,-4.50706,-39.9809,1.49892,75.5544,1004.38,-582.884,-45.3032,-26.6616,18.6223,199.386,-176.609,309.02
93,0,-4.88699,-40.3523,1.56351,77.4537,1002.17,-579.882,-37.9923,-37.1477,6.45907,189.936,-221.3,300.157
94,0,-5.26316,-40.8553,1.67281,79.4846,999.777,-576.621,-37.6176,-50.2992,10.9299,203.085,-238.991,326.145
95,0,-5.58594,-41.486,1.74198,81.5552,997.173,-573.26,-32.2777,-63.0659,6.91767,207.061,-260.371,336.128
96,0,-5.9212,-42.2546,1.79834,83.7035,994.489,-569.69,-33.5264,-76.8632,5.63553,214.83,-268.465,356.96
97,0,-6.1949,-43.1605,1.85659,85.9614,991.753,-566.012,-27.3698,-90.5919,5.82513,225.794,-273.526,367.838
98,0,-6.4272,-44.2014,1.93224,88.343,989.036,-562.199,-23.2294,-104.088,7.56503,238.162,-271.755,381.207
99,0,-6.52594,-45.3168,2.05018,90.8392,986.351,-558.374,-9.87462,-111.532,11.7943,249.613,-268.447,382.513
100,0,-6.65749,-46.5958,2.1387,93.4509,983.78,-554.393,-13.1547,-127.902,8.85143,261.176,-257.17,398.171
101,0,-6.69803,-47.9797,2.2888,96.2476,981.323,-550.328,-4.05397,-138.395,15.0103,279.669,-245.667,406.456
102,0,-6.68069,-49.4487,2.45768,99.1807,978.988,-546.195,1.73342,-146.895,16.8877,293.311,-233.465,413.34
103,0,-6.59213,-50.9782,2.65529,102.259,976.769,-541.999,8.85649,-152.955,19.7617,307.814,-221.896,419.539
104,0,-6.42606,-52.5416,2.88158,105.492,974.641,-537.76,16.6065,-156.34,22.629,323.299,-212.824,423.908
105,0,-6.18066,-54.109,3.12731,108.867,972.584,-533.481,24.5401,-156.734,24.5728,337.489,-205.708,427.943
106,0,-5.84501,-55.6508,3.39442,112.394,970.562,-529.179,33.5659,-154.186,26.7106,352.693,-202.233,430.131
107,0,-5.48039,-57.1379,3.61207,116.004,968.558,-524.858,36.4616,-148.71,21.7653,360.997,-200.415,432.116
108,0,-5.0045,-58.5443,3.85745,119.77,966.535,-520.554,47.5892,-140.632,24.5378,376.63,-202.245,430.471
109,0,-4.45966,-59.8499,4.09253,123.651,964.491,-516.267,54.484,-130.569,23.5079,388.119,-204.462,428.653
110,0,-3.90564,-61.0526,4.34407,127.666,962.475,-511.815,55.4022,-120.262,25.1541,401.533,-201.553,445.235
111,0,-3.28594,-62.1127,4.55491,131.717,960.595,-507.392,61.9691,-106.017,21.0837,405.075,-187.987,442.266
112,0,-2.53021,-63.0298,4.76806,135.83,958.595,-503.257,75.5732,-91.7069,21.3154,411.233,-200.045,413.525
113,0,-1.88642,-63.8347,4.93422,139.985,956.76,-498.852,64.3796,-80.4911,16.6161,415.532,-183.451,440.449
114,0,-1.26764,-64.5135,5.1119,144.209,955.08,-494.265,61.8776,-67.8777,17.768,422.417,-168.014,458.72
115,0,-0.801371,-65.0845,5.17208,148.39,953.606,-489.464,46.627,-57.1031,6.01778,418.113,-147.432,480.065
116,0,-0.393566,-65.5327,5.22338,152.582,952.379,-484.411,40.7805,-44.8163,5.13011,419.195,-122.708,505.382
117,0,-0.180634,-65.8651,5.16921,156.727,951.519,-478.878,21.2932,-33.2378,-5.41715,414.516,-85.9439,553.262
118,0,0.0766475,-66.091,5.15177,160.847,950.924,-473.328,25.7281,-22.5902,-1.7437,411.965,-59.5152,555.009
119,0,0.124029,-66.2296,5.0321,164.918,950.671,-467.266,4.73817,-13.8632,-11.9667,407.118,-25.3439,606.233
120,0,0.130094,-66.2774,4.82507,168.885,950.649,-461.26,0.606473,-4.78318,-20.7037,396.672,-2.20537,600.576
121,0,0.0295052,-66.2543,4.58513,172.866,950.861,-454.98,-10.0589,2.31134,-23.9934,398.119,21.2848,628.003
122,0,-0.140299,-66.1491,4.31167,176.812,951.343,-448.497,-16.9805,10.5212,-27.3466,394.624,48.1427,648.308
123,0,-0.367145,-65.9713,4.00707,180.745,952.053,-441.819,-22.6846,17.7803,-30.4601,393.255,71.0547,667.802
124,0,-0.634942,-65.7208,3.68648,184.658,952.964,-434.994,-26.7796,25.0463,-32.059,391.328,91.0461,682.423
125,0,-0.907161,-65.3858,3.38199,188.529,954.135,-427.982,-27.2219,33.5055,-30.4489,387.065,117.117,701.275
126,0,-1.17858,-64.9622,3.07545,192.389,955.445,-420.886,-27.1418,42.3629,-30.654,386,130.951,709.543
127,0,-1.45112,-64.4486,2.73635,196.131,956.88,-413.798,-27.2545,51.3582,-33.9094,374.188,143.588,708.792
128,0,-1.71587,-63.8478,2.4542,199.854,958.471,-406.456,-26.4748,60.077,-28.2153,372.309,159.007,734.282
129,0,-1.91587,-63.1295,2.21979,203.546,960.078,-399.148,-19.9998,71.8263,-23.4404,369.188,160.795,730.759
130,0,-2.09713,-62.3065,1.99142,207.166,961.657,-391.866,-18.1265,82.301,-22.8376,362.021,157.875,728.181
131,0,-2.25757,-61.3725,1.77506,210.706,963.168,-384.621,-16.0437,93.4035,-21.6355,354.047,151.086,724.486
132,0,-2.41782,-60.3305,1.55544,214.166,964.535,-377.439,-16.0246,104.199,-21.9621,345.978,136.703,718.245
133,0,-2.53185,-59.1741,1.40631,217.614,965.707,-370.315,-11.4032,115.635,-14.9137,344.796,117.236,712.404
134,0,-2.67626,-57.9168,1.22306,220.946,966.669,-363.324,-14.4409,125.731,-18.3249,333.214,96.1304,699.091
135,0,-2.7802,-56.5593,1.09234,224.244,967.398,-356.481,-10.3938,135.75,-13.0715,329.766,72.9561,684.276
136,0,-2.87792,-55.1107,0.978881,227.475,967.9,-349.819,-9.77263,144.868,-11.3461,323.169,50.1215,666.255
137,0,-2.98047,-53.5866,0.873984,230.626,968.188,-343.364,-10.2543,152.402,-10.4897,315.055,28.8606,645.468
138,0,-3.07554,-52.0042,0.768839,233.666,968.29,-337.199,-9.50762,158.245,-10.5145,304.033,10.2282,616.497
139,0,-3.16857,-50.3781,0.656353,236.576,968.248,-331.36,-9.30297,162.605,-11.2486,291.005,-4.28557,583.917
140,0,-3.2646,-48.7268,0.529757,239.316,968.105,-325.866,-9.60278,165.139,-12.6596,273.97,-14.3051,549.358
141,0,-3.36136,-47.0705,0.388699,241.876,967.911,-320.751,-9.67556,165.627,-14.1059,255.954,-19.3834,511.515
