Joints,,,,,,,,,,,,,
100,,,,,,,,,,,,,
,,Subject1:World_Root,,,,,,Subject1:LowerBack,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
63,0,3.26127,-6.47058,1.88551,31.6995,1060.46,199.074,15.5116,118.468,121.758,-26.0381,208.28,1233.3
64,0,3.38866,-5.35507,2.13043,30.6519,1058.69,198.64,14.2012,119.23,122.59,-24.2424,208.27,1231.49
65,0,3.48843,-4.24246,2.39064,29.6368,1055.96,198.145,12.8485,119.984,123.446,-22.433,208.141,1228.71
66,0,3.53243,-3.08904,2.65208,28.6508,1052.06,197.882,11.3806,120.737,124.354,-20.6495,208.11,1224.76
67,0,3.49737,-2.00437,2.92303,27.68,1047.09,197.756,9.9246,121.446,125.252,-18.8544,207.999,1219.74
68,0,3.39163,-0.984282,3.21244,26.6887,1041.11,197.717,8.48714,122.143,126.115,-16.9856,207.78,1213.73
69,0,3.23071,-0.15075,3.50343,25.7368,1034.39,197.794,7.14916,122.786,126.858,-15.1542,207.508,1206.97
70,0,2.99909,0.486592,3.79542,24.6063,1027.09,197.755,5.88312,123.408,127.478,-13.1433,206.893,1199.65
71,0,2.73799,0.882089,4.07444,23.3837,1019.47,197.75,4.73611,123.996,127.946,-11.0804,206.191,1192.01
72,0,2.44271,1.06927,4.31485,22.1257,1011.8,197.6,3.67205,124.586,128.285,-9.09848,205.203,1184.33
73,0,2.14658,1.07603,4.5185,20.725,1004.38,197.38,2.71182,125.17,128.506,-7.0842,204.103,1176.9
74,0,1.8441,1.01825,4.66748,19.301,997.452,197.023,1.75416,125.79,128.666,-5.21108,202.828,1169.97
75,0,1.56413,0.895415,4.74862,17.9486,991.359,196.549,0.82635,126.393,128.752,-3.61384,201.484,1163.88
76,0,1.26222,0.729081,4.75042,16.6123,986.531,196.217,-0.0715322,126.909,128.854,-2.27147,200.201,1159.08
77,0,0.972418,0.569621,4.66501,15.3911,983.017,196.027,-0.937308,127.351,128.98,-1.30709,199.097,1155.6
78,0,0.713193,0.484913,4.50619,14.393,980.925,195.973,-1.78582,127.732,129.138,-0.787325,198.237,1153.56
79,0,0.497924,0.404496,4.28717,13.6608,980.341,195.872,-2.53216,128.062,129.264,-0.714971,197.464,1153.03
80,0,0.342898,0.335724,4.01703,13.1623,981.265,196,-3.17723,128.336,129.364,-1.03081,197.105,1154.02
81,0,0.23133,0.2062,3.7065,12.844,983.577,196.05,-3.65989,128.538,129.404,-1.64885,196.788,1156.4
82,0,0.175574,0.0146491,3.37065,12.859,987.269,196.159,-3.98741,128.692,129.382,-2.67702,196.691,1160.15
83,0,0.174204,-0.305637,3.04489,12.9944,992.097,196.265,-4.07882,128.783,129.281,-3.79563,196.742,1165.04
84,0,0.21221,-0.664906,2.72071,13.3919,997.933,196.435,-4.06196,128.821,129.136,-5.17218,196.98,1170.92
85,0,0.30576,-1.13593,2.38904,13.8288,1004.61,196.671,-3.89001,128.809,128.878,-6.61148,197.451,1177.64
86,0,0.431115,-1.72197,2.06152,14.4944,1011.84,196.88,-3.54652,128.729,128.537,-8.26778,197.995,1184.91
87,0,0.572392,-2.40534,1.73502,15.3123,1019.48,196.97,-3.05058,128.605,128.109,-10.0738,198.479,1192.58
88,0,0.714745,-3.15293,1.42174,16.2792,1027.22,197.315,-2.41438,128.424,127.637,-11.9891,199.239,1200.34
89,0,0.835913,-3.98592,1.10603,17.3146,1034.85,197.701,-1.66525,128.183,127.103,-13.9802,199.995,1207.99
90,0,0.925922,-4.85247,0.815849,18.5424,1042.22,198.259,-0.805391,127.886,126.564,-16.0858,200.848,1215.37
91,0,0.984295,-5.76981,0.538569,19.7585,1049.01,198.917,0.155954,127.523,125.983,-18.1394,201.728,1222.17
92,0,1.01838,-6.64698,0.277596,21.079,1055.09,199.863,1.15455,127.101,125.408,-20.246,202.844,1228.25
93,0,1.00214,-7.53407,0.0267195,22.2586,1060.35,200.832,2.22863,126.62,124.81,-22.179,203.851,1233.51
94,0,0.950789,-8.37348,-0.220274,23.5193,1064.6,201.877,3.32855,126.091,124.199,-24.1784,204.848,1237.76
95,0,0.891888,-9.21106,-0.478619,24.6554,1067.73,202.941,4.51232,125.503,123.527,-26.0838,205.868,1240.89
96,0,0.830217,-9.9592,-0.735553,25.7576,1069.9,204.051,5.68746,124.901,122.842,-27.9478,206.945,1243.05
97,0,0.764144,-10.746,-1.01485,26.7915,1071.14,205.076,6.94851,124.235,122.095,-29.8055,207.958,1244.28
98,0,0.707427,-11.6592,-1.3057,27.6643,1071.28,205.835,8.34806,123.51,121.24,-31.5297,208.77,1244.4
99,0,0.681603,-12.5833,-1.59783,28.5424,1070.48,206.354,9.76104,122.789,120.337,-33.2559,209.466,1243.57
100,0,0.692764,-13.5449,-1.89288,29.3988,1068.82,206.692,11.2108,122.038,119.395,-34.9606,210.124,1241.88
101,0,0.716815,-14.4655,-2.18429,30.2049,1066,206.792,12.6398,121.274,118.482,-36.5968,210.606,1239.03
102,0,0.728516,-15.3671,-2.4868,30.7839,1061.93,207.012,14.041,120.459,117.614,-38.0301,211.203,1234.91
103,0,0.75757,-16.2913,-2.80767,31.4727,1056.76,207.122,15.4448,119.648,116.716,-39.6157,211.789,1229.69
104,0,0.810033,-17.0863,-3.11655,32.249,1050.61,207.041,16.7407,118.917,115.861,-41.2495,212.251,1223.48
105,0,0.881609,-17.6723,-3.4107,33.2006,1043.6,206.871,17.9182,118.223,115.099,-43.018,212.658,1216.41
106,0,0.967108,-18.1149,-3.69256,34.059,1035.89,206.716,19.0008,117.566,114.354,-44.6602,213.101,1208.63
107,0,1.02319,-18.5325,-3.9779,34.9106,1027.58,206.49,20.0852,116.895,113.589,-46.3022,213.393,1200.26
108,0,1.08456,-18.7363,-4.21929,35.6668,1019.15,206.586,21.061,116.269,112.904,-47.7339,213.948,1191.76
109,0,1.16133,-18.8096,-4.43925,36.4088,1010.92,206.761,21.9612,115.672,112.235,-49.0982,214.581,1183.46
110,0,1.25421,-18.8618,-4.61817,37.1384,1003.15,206.978,22.8967,115.086,111.552,-50.334,215.263,1175.63
111,0,1.32843,-18.8856,-4.739,37.7434,995.985,207.235,23.8182,114.483,110.926,-51.2816,215.866,1168.42
112,0,1.3824,-18.8745,-4.79781,38.1557,989.998,207.576,24.6962,113.86,110.4,-51.8624,216.424,1162.41
113,0,1.40938,-18.8717,-4.79699,38.4617,985.393,208.101,25.5618,113.231,109.967,-52.1663,217.029,1157.8
114,0,1.42423,-18.8222,-4.71087,38.6757,982.218,208.746,26.3161,112.697,109.652,-52.1387,217.623,1154.65
